id;name;description;logo;price;game;product_type
1;Steel;Assistant;cross-platform Principal;35091;LEAGUE_OF_LEGENDS;INTING
2;Computer Legacy deposit;THX Car;Soap withdrawal;40879;OVERWATCH;COACHING
3;Incredible Korea;compressing withdrawal green;Bedfordshire Lao neutral;4184;LEAGUE_OF_LEGENDS;GAME_ACCOUNT
4;digital;CFP orange;Village;95487;LEAGUE_OF_LEGENDS;COACHING
5;indigo JSON Mexico;Steel;solutions;27331;LEAGUE_OF_LEGENDS;COACHING
6;Rubber Chips;Keyboard;Center black pixel;28408;OVERWATCH;INTING
7;Renminbi rich South;virtual Stand-alone Fantastic;Buckinghamshire;8835;LEAGUE_OF_LEGENDS;INTING
8;Implementation;application grey solution;Massachusetts Ergonomic Ergonomic;5859;LEAGUE_OF_LEGENDS;COACHING
9;full-range;back-end National Operations;Games;67286;OVERWATCH;INTING
10;transmit Incredible IB;Algeria Rustic;Taka;90493;LEAGUE_OF_LEGENDS;INTING
